horizon,method,success,accident,delta_success,delta_accident,success_loss,new_accident,calls,controller_steps,completion_cost,intervention,no_trigger,delta_success_lo,delta_success_hi,delta_accident_lo,delta_accident_hi,normal_success_loss
220,Base,0.6770833333333333,0.26041666666666663,0.0,0.0,0.0,0.0,84.01041666666666,0.0,129.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
220,AlwaysDetour,0.3125,0.10416666666666666,-0.3645833333333333,-0.15625,0.3958333333333333,0.03125,16.625,185.60416666666669,215.0625,0.9791666666666666,0.020833333333333332,-0.47916666666666663,-0.24999999999999997,-0.25,-0.05208333333333333,0.5625
220,RiskDetour,0.6354166666666666,0.22916666666666666,-0.041666666666666664,-0.03125,0.05208333333333333,0.0,73.17708333333333,27.5625,140.85416666666666,0.14583333333333331,0.020833333333333332,-0.10416666666666666,0.010416666666666666,-0.08333333333333333,0.0,0.0625
220,DirectQ_sanity,0.6770833333333333,0.26041666666666663,0.0,0.0,0.0,0.0,84.01041666666666,0.0,129.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
220,BenefitGate,0.6770833333333333,0.26041666666666663,0.0,0.0,0.0,0.0,84.01041666666666,0.0,129.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
220,RiskOnlyBenefit,0.6354166666666666,0.22916666666666666,-0.041666666666666664,-0.03125,0.05208333333333333,0.0,73.17708333333333,27.5625,140.85416666666666,0.14583333333333331,0.020833333333333332,-0.10416666666666666,0.010416666666666666,-0.08333333333333333,0.0,0.0625
220,A_reference,0.6979166666666666,0.23958333333333331,0.020833333333333332,-0.020833333333333332,0.0,0.0,80.875,12.3125,134.20833333333334,0.0625,0.020833333333333332,0.0,0.0625,-0.0625,0.0,0.0
220,A_long_reference,0.6979166666666666,0.21875,0.020833333333333332,-0.041666666666666664,0.0,0.0,79.14583333333333,16.604166666666668,134.20833333333334,0.08333333333333333,0.020833333333333332,0.0,0.0625,-0.10416666666666666,0.0,0.0
440,Base,0.6770833333333333,0.26041666666666663,0.0,0.0,0.0,0.0,97.76041666666667,0.0,200.04166666666669,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
440,AlwaysDetour,0.3958333333333333,0.14583333333333331,-0.28125,-0.11458333333333333,0.3333333333333333,0.041666666666666664,26.78125,289.20833333333337,355.6041666666667,0.9791666666666666,0.020833333333333332,-0.40625,-0.16666666666666666,-0.21875,-0.01015625000000378,0.46875
440,RiskDetour,0.6354166666666666,0.22916666666666666,-0.041666666666666664,-0.03125,0.05208333333333333,0.0,84.63541666666666,45.89583333333333,221.0625,0.14583333333333331,0.020833333333333332,-0.10416666666666666,0.010416666666666666,-0.08333333333333333,0.0,0.0625
440,DirectQ_sanity,0.6770833333333333,0.26041666666666663,0.0,0.0,0.0,0.0,97.76041666666667,0.0,200.04166666666669,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
440,BenefitGate,0.6770833333333333,0.26041666666666663,0.0,0.0,0.0,0.0,97.76041666666667,0.0,200.04166666666669,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
440,RiskOnlyBenefit,0.6354166666666666,0.22916666666666666,-0.041666666666666664,-0.03125,0.05208333333333333,0.0,84.63541666666666,45.89583333333333,221.0625,0.14583333333333331,0.020833333333333332,-0.10416666666666666,0.010416666666666666,-0.08333333333333333,0.0,0.0625
440,A_reference,0.6979166666666666,0.23958333333333331,0.020833333333333332,-0.020833333333333332,0.0,0.0,94.625,12.3125,200.66666666666669,0.0625,0.020833333333333332,0.0,0.0625,-0.0625,0.0,0.0
440,A_long_reference,0.71875,0.21875,0.041666666666666664,-0.041666666666666664,0.0,0.0,92.89583333333334,21.020833333333336,200.5,0.08333333333333333,0.020833333333333332,0.0,0.10416666666666666,-0.10416666666666666,0.0,0.0
