outer_fold,held_source,source,role,assignment_hash
0,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,held_out,
0,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,calibration,c3d0aaf07b4d4f4c6c6f9f6cc6b87c1c3baac431ac9a0744e0061d0743261a09
0,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,fit,aeff67131793771979404a1a8b61c2395eb4d575f6b0b2ccbb90dedb84eb8d52
0,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,fit,3de00928d4b3cbff063765316416fae3914455ddc5d3687567ccc15f69835721
0,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,fit,870f3189d1996b22b949ea2e1ccd987d90f86a1a806c2e0aa64beab23ec5099a
0,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,61f6ada542d03d1dd4d75a304f2674efa20660163c54b012b956522e98835cac,fit,71a91252c5e81a0f0c71e35a0588056098fc9a2f3681e4d13ca11ef5d7acc8f8
0,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,calibration,bc5bbd6683131cdc3add471cf57e8258d43da0725f7e0b074b1dfa6aae85a3c1
0,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,fit,b806d4d8e9715c0043faba4b802a94feaa68f31879b654a5c724ac1c6e800abe
0,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,fit,a4809ffb1c373a206a2cf685d1785326b078ab5955aed1ecea7a77380d048de3
0,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,fit,9d932f02b1875794ee2df3b5d55a8e8287e726d90314b4106ec5e64dae1c5052
0,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,db8a34a5c662c53073d0414a0a467459aa9c901b0ad0a4c00fd25c7328828838
0,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,fit,27235b12e3286e9d11c839972ff9da9c7605b5f7d1fb51cc1eeb33027b69fa8a
0,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,calibration,c9d7e9e9a8a5c14c4bd69828fff7ea4a14684a2863c007a1633319a2052661a9
0,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,fit,87aea14003f64f55417229df32cd96f030b0c5abec6b5719039ba184a536a0f2
0,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,fit,64b2c9e679c5c4f27d14146a2998f0d5272f0e6fd02bd9612ff0fd6cca5d9f01
0,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,b830bede73f505b84b88a6596e92c22a5a4c0ded1e275e8e5b28a599849d2df6,fit,5f59687f3320a78a965d70f742dd7c75dd10d99794f6917fb6aea800d52343f8
0,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,fit,2b8f0bc3d8ccda40885420b76096efee8ea8836f61db8c36f458289ef908a8b0
0,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,d6796d48077a08484abd1252e6deb387d8b6a10bf445e66c4e6eaa0bde0f7818,fit,2788d6b6da71fee7c0763f70ed1aabe7b26b4210663f249b04803393d6236b03
0,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,calibration,e6cfc64bb3e33c539371b9bc167a04daad60f0686fa703c92922efe94df80a42
0,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,fit,7b218c2155ee4a939411b4e2a632bdb6407ae8accde1b67f364a99ef8b962f2a
1,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,calibration,c20e45d83ebe74a28026034c90331a43a00c0ede91c7d6ca7e8ef34181752bc7
1,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,held_out,
1,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,fit,705341957e81331e95f2cc9ebe386e9c425bb45dc0642dd7c8df18a849e3c84f
1,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,3f7887ee8820a4163a5033c81050731e85d1a310652a612f5b0ea5c450ec2043,fit,35de8b0295d67745b257ddda764b6826ae0bd9c9ab8a0d06fb649aaef6b047e1
1,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,fit,8150ca19b4df85d47ee6e0f8199b9138922e0641fa14f0d5f3d393065bc64adb
1,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,61f6ada542d03d1dd4d75a304f2674efa20660163c54b012b956522e98835cac,calibration,bbe465640261e668cca5fbffeb39a591119fd258e0b04e1aa315710bc3abbebb
1,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,calibration,ca327c543eac54c813720b7ffa211cc3cfa19364f95c826bacc6617a10ae223f
1,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,fit,1ae53b65f18465221311a4476112c9fcca94ae722b2f8af2be1e1d66a90e6a16
1,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,fit,2d0ab27427d0b4ee943f10aa9f47e954703fa04b4f32484b60845cdb374311d8
1,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,fit,200814aa979ea5658aef0f632e7171a93645b56a9f0dd607b8f554e02a69a4e5
1,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,fit,25a0bc6ad045bf386a92f7b58f845e1242e4f9cbf53ebe483def5e38655bc728
1,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,fit,3930726f504ae377e489c2a9e29ec3fd534ca18720c87c58c85d405973cf90af
1,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,fit,2fe3122154e02b78ff60ff6e9a4ded39d69eaa11f3a7230ff777f07a2f7da97b
1,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,fit,33fad56ef7c19c29563123bf7bd0b8917163f2bc68b0306696d77de10e53bbb5
1,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,fit,a1dc12adb4fd8400264797989fce4625fa517bc496a894fbcc44674987eef1dc
1,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,b830bede73f505b84b88a6596e92c22a5a4c0ded1e275e8e5b28a599849d2df6,fit,2aedbf24804e736741f632a5a77e2f71033819f2dab395eb9031167dbdb0a0df
1,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,fit,7f5f7035d88820716611f3b51373d69e6feda18826895ccc9969c27f08663070
1,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,d6796d48077a08484abd1252e6deb387d8b6a10bf445e66c4e6eaa0bde0f7818,calibration,b432c79e04ef65927d6d73302f9121470f084580ede4618770162a113cc07b16
1,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,calibration,f951397e6f570772be1b28d7624713617df168c9043c7737693f38aedcd98ea2
