decision_id,source,historical_split,condition,horizon,strict_label,method,choice,selected_outcome,selected_utility
35e708cd7d26ed664ae5a16e99ecfa9ac0f974c0e268ccf6e20806b3426e1a1f,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,glass,40,strict_retreat,Base,base_continue,catastrophe,-1.0
cd22ce18548a3b2c16e9c14cd1375f5d73dff027be4468f65f000a5fb6697cb5,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,offpath,40,base_tie,Base,base_continue,task_success,1.0
0d9ea39087fb6fd8d5df2651cdcaab4e5da5952e1f0fe0cd6915bc0eb7893a3e,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,noglass,40,base_tie,Base,base_continue,task_success,1.0
95d1c983ef5278089cbf4a97fd29e63847cf596e6f91a5094e4f13df9cb912aa,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,glass,30,detour_retreat_tie,Base,base_continue,catastrophe,-1.0
ed26209afc5c7fe32bd37476aff7664456cd16d5e3caa12510498b455f568391,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,offpath,30,base_tie,Base,base_continue,task_success,1.0
92576fc37c2d41fbfbd270b4917f78074dfa38e9b92da0dde848094f08d10057,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,noglass,30,strict_base,Base,base_continue,task_success,1.0
f3f67f57bc6a517b90da02d8e03095ad4e9976149edd877a51220c85950d088b,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,glass,20,strict_retreat,Base,base_continue,catastrophe,-1.0
908070ca1dd9689c41e49874ec23583ba380085676ade4e261316dfc9aeb90e5,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,offpath,20,strict_base,Base,base_continue,task_success,1.0
e25436a8833b407aa3f655b6dd419a708dcddc9f1ebed2fb203adab481548cac,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,noglass,20,base_tie,Base,base_continue,task_success,1.0
29757722414f6a8d93120a80a5d86a22f9ffe443d961f9bd91a5b69076b25e11,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,glass,10,strict_retreat,Base,base_continue,catastrophe,-1.0
df5c0ddbc5bcb3d706b3acebaa2704623875139b588d155ae5da8f1d27840fc4,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,offpath,10,strict_base,Base,base_continue,task_success,1.0
8ba90f1e46e6c737c0eb056cf6515a987da62bfa9c19658a6c8d06b74439121a,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,noglass,10,strict_base,Base,base_continue,task_success,1.0
d6337f0cccc18f4bebe07016fa813f0b4ff589acd6d94569b6df8579a7a637f4,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,calibration,glass,5,detour_retreat_tie,Base,base_continue,catastrophe,-1.0
