component,group_type,group_value,method,scalar_utility,task_success_rate,catastrophe_rate,intervention_rate,raw_decisions,strict_base_recall,raw_strict_base_states,strict_detour_recall,raw_strict_detour_states,strict_retreat_recall,raw_strict_retreat_states,detour_retreat_balanced_accuracy,strict_choice_macro_f1,balanced_accuracy,macro_f1,detour_recall,retreat_recall,raw_target_detour_pred_detour,raw_target_detour_pred_retreat,raw_target_retreat_pred_detour,raw_target_retreat_pred_retreat,weighted_confusion_matrix,base_recall,intervention_recall,auroc,auprc,raw_base_states,raw_intervention_states
composed_router,family,glass,Base,-0.875,0.022500000000000006,0.8975,0.0,101,1.0,2,0.0,28,0.0,23,0.0,0.04848484848484847,,,,,,,,,,,,,,,
composed_router,family,glass,Always Detour,-0.10750000000000001,0.24250000000000008,0.3500000000000001,1.0,101,0.0,2,1.0,28,0.0,23,0.5,0.21573828470380194,,,,,,,,,,,,,,,
composed_router,family,glass,Always Retreat,-0.20250000000000007,0.0,0.20250000000000007,1.0,101,0.0,2,0.0,28,1.0,23,0.5,0.20471014492753623,,,,,,,,,,,,,,,
composed_router,family,glass,Risk->Retreat,-0.6091666666666666,0.0,0.6091666666666666,0.5108333333333333,101,0.0,2,0.0,28,0.5370370370370368,23,0.2685185185185184,0.1671488267438123,,,,,,,,,,,,,,,
composed_router,family,glass,Risk->Detour,-0.4283333333333334,0.15500000000000005,0.5833333333333335,0.6391666666666665,101,0.0,2,0.6111111111111112,28,0.0,23,0.3055555555555556,0.17968094038623003,,,,,,,,,,,,,,,
composed_router,family,glass,Risk->BestFixed,-0.41833333333333345,0.15500000000000005,0.5733333333333335,0.6391666666666665,101,0.0,2,0.6111111111111112,28,0.055555555555555546,23,0.33333333333333337,0.21099837407788022,,,,,,,,,,,,,,,
composed_router,family,glass,Risk+TwoStage,-0.46333333333333343,0.09250000000000001,0.5558333333333334,0.6041666666666666,101,0.0,2,0.32407407407407407,28,0.3703703703703703,23,0.3472222222222222,0.29849724401694144,,,,,,,,,,,,,,,
composed_router,family,glass,SB-Risk+TwoStage,-0.46333333333333343,0.09250000000000001,0.5558333333333334,0.6041666666666666,101,0.0,2,0.32407407407407407,28,0.3703703703703703,23,0.3472222222222222,0.29849724401694144,,,,,,,,,,,,,,,
composed_router,family,glass,DirectChoice,-0.3466666666666668,0.13000000000000003,0.4766666666666667,0.6083333333333334,101,0.5,2,0.38888888888888884,28,0.2962962962962962,23,0.34259259259259256,0.3808340249648705,,,,,,,,,,,,,,,
composed_router,family,glass,DirectQ,-0.4725,0.07250000000000002,0.5449999999999999,0.5425000000000002,101,0.5,2,0.23148148148148145,28,0.3703703703703703,23,0.3009259259259259,0.30104864076415644,,,,,,,,,,,,,,,
composed_router,family,glass,SB-DirectQ,-0.4499999999999999,0.07250000000000002,0.5224999999999999,0.5225000000000001,101,0.0,2,0.23148148148148145,28,0.5185185185185185,23,0.375,0.2889948118671111,,,,,,,,,,,,,,,
composed_router,family,glass,PairwiseAdvantage,-0.4725,0.07250000000000002,0.5449999999999999,0.5425000000000002,101,0.5,2,0.23148148148148145,28,0.3703703703703703,23,0.3009259259259259,0.30104864076415644,,,,,,,,,,,,,,,
composed_router,family,glass,OutcomeRouter,-0.33083333333333337,0.12500000000000006,0.45583333333333337,0.6841666666666666,101,0.0,2,0.45370370370370366,28,0.3703703703703703,23,0.412037037037037,0.2968122892556106,,,,,,,,,,,,,,,
composed_router,family,glass,SB-OutcomeRouter,-0.3333333333333334,0.11500000000000003,0.4483333333333333,0.6666666666666666,101,0.0,2,0.39814814814814814,28,0.48148148148148145,23,0.43981481481481477,0.3246842885251885,,,,,,,,,,,,,,,
composed_router,family,glass,SB-COR,-0.36916666666666675,0.09500000000000003,0.46416666666666667,0.6208333333333333,101,0.0,2,0.32407407407407407,28,0.48148148148148145,23,0.4027777777777778,0.2966680002057746,,,,,,,,,,,,,,,
composed_router,family,glass,OutcomeRouter-hidden-only,-0.2666666666666667,0.14,0.40666666666666673,0.7208333333333335,101,0.0,2,0.5,28,0.5185185185185185,23,0.5092592592592593,0.3731720124721471,,,,,,,,,,,,,,,
composed_router,family,glass,OutcomeRouter-state-action-only,-0.6541666666666669,0.0775,0.7316666666666668,0.41083333333333344,101,0.0,2,0.25925925925925924,28,0.0,23,0.12962962962962962,0.10279001468428779,,,,,,,,,,,,,,,
composed_router,family,glass,Condition-only diagnostic,-0.2550000000000001,0.1275,0.3825000000000001,1.0,101,0.0,2,0.4444444444444444,28,0.22222222222222218,23,0.3333333333333333,0.1752573190756538,,,,,,,,,,,,,,,
composed_router,family,glass,Horizon-only diagnostic,-0.5333333333333333,0.12000000000000004,0.6533333333333334,0.46416666666666667,101,0.0,2,0.4629629629629629,28,0.0,23,0.23148148148148145,0.15767091920183188,,,,,,,,,,,,,,,
composed_router,family,glass,ADR-linear-full,-0.4041666666666668,0.10750000000000001,0.5116666666666666,0.5933333333333335,101,0.5,2,0.361111111111111,28,0.25925925925925924,23,0.3101851851851851,0.3456126022861248,,,,,,,,,,,,,,,
composed_router,family,glass,ADR-linear-split,-0.3391666666666667,0.10250000000000001,0.4416666666666667,0.6658333333333334,101,0.5,2,0.4351851851851852,28,0.3703703703703703,23,0.40277777777777773,0.4077743475701183,,,,,,,,,,,,,,,
composed_router,family,glass,ADR-tiny-nonlinear-choice,-0.3641666666666668,0.11250000000000002,0.4766666666666667,0.5933333333333335,101,0.5,2,0.37037037037037035,28,0.44444444444444436,23,0.40740740740740733,0.4312466228203995,,,,,,,,,,,,,,,
composed_router,family,glass,Oracle upper bound diagnostic,0.16250000000000003,0.25500000000000006,0.09250000000000003,0.805,101,1.0,2,1.0,28,1.0,23,1.0,1.0,,,,,,,,,,,,,,,
oracle_hybrid,family,glass,ADR-linear-full/OracleGate+OracleChoice,0.16250000000000003,0.25500000000000006,0.09250000000000003,0.805,101,1.0,2,1.0,28,1.0,23,1.0,1.0,,,,,,,,,,,,,,,
oracle_hybrid,family,glass,ADR-linear-full/OracleGate+LearnedChoice,-0.07500000000000002,0.17500000000000004,0.25000000000000006,0.805,101,1.0,2,0.7037037037037037,28,0.4074074074074074,23,0.5555555555555556,0.6654736092886022,,,,,,,,,,,,,,,
oracle_hybrid,family,glass,ADR-linear-full/LearnedGate+OracleChoice,-0.23916666666666675,0.16000000000000003,0.3991666666666668,0.5933333333333335,101,0.5,2,0.48148148148148145,28,0.722222222222222,23,0.6018518518518517,0.5949121500734436,,,,,,,,,,,,,,,
oracle_hybrid,family,glass,ADR-linear-full/LearnedGate+LearnedChoice,-0.4041666666666668,0.10750000000000001,0.5116666666666666,0.5933333333333335,101,0.5,2,0.361111111111111,28,0.25925925925925924,23,0.3101851851851851,0.3456126022861248,,,,,,,,,,,,,,,
oracle_hybrid,family,glass,ADR-linear-split/OracleGate+OracleChoice,0.16250000000000003,0.25500000000000006,0.09250000000000003,0.805,101,1.0,2,1.0,28,1.0,23,1.0,1.0,,,,,,,,,,,,,,,
oracle_hybrid,family,glass,ADR-linear-split/OracleGate+LearnedChoice,-0.027500000000000007,0.19750000000000004,0.22500000000000003,0.805,101,1.0,2,0.8055555555555556,28,0.3703703703703703,23,0.5879629629629629,0.7231955303626502,,,,,,,,,,,,,,,
oracle_hybrid,family,glass,ADR-linear-split/LearnedGate+OracleChoice,-0.1666666666666667,0.16000000000000003,0.32666666666666677,0.6658333333333334,101,0.5,2,0.5925925925925924,28,0.8518518518518516,23,0.7222222222222221,0.6558499475084235,,,,,,,,,,,,,,,
oracle_hybrid,family,glass,ADR-linear-split/LearnedGate+LearnedChoice,-0.3391666666666667,0.10250000000000001,0.4416666666666667,0.6658333333333334,101,0.5,2,0.4351851851851852,28,0.3703703703703703,23,0.40277777777777773,0.4077743475701183,,,,,,,,,,,,,,,
oracle_hybrid,family,glass,ADR-tiny-nonlinear-choice/OracleGate+OracleChoice,0.16250000000000003,0.25500000000000006,0.09250000000000003,0.805,101,1.0,2,1.0,28,1.0,23,1.0,1.0,,,,,,,,,,,,,,,
oracle_hybrid,family,glass,ADR-tiny-nonlinear-choice/OracleGate+LearnedChoice,0.017500000000000005,0.22000000000000006,0.20250000000000007,0.805,101,1.0,2,0.8611111111111112,28,0.6296296296296294,23,0.7453703703703702,0.807078462374298,,,,,,,,,,,,,,,
oracle_hybrid,family,glass,ADR-tiny-nonlinear-choice/LearnedGate+OracleChoice,-0.25166666666666676,0.14750000000000005,0.3991666666666668,0.5933333333333335,101,0.5,2,0.44444444444444436,28,0.7777777777777776,23,0.6111111111111109,0.5981647418012616,,,,,,,,,,,,,,,
