method,hybrid,diagnostic_only,oracle_to_learned_choice_utility_error,oracle_to_learned_gate_utility_error,total_composed_utility_error,composition_calibration_interaction,scalar_utility,task_success_rate,catastrophe_rate,intervention_rate,raw_decisions,strict_base_recall,raw_strict_base_states,strict_detour_recall,raw_strict_detour_states,strict_retreat_recall,raw_strict_retreat_states,detour_retreat_balanced_accuracy,strict_choice_macro_f1,utility_gain_vs_Risk->BestFixed
ADR-linear-full,OracleGate+OracleChoice,True,0.09333333333333338,0.28444444444444444,0.3544444444444444,-0.023333333333333428,0.5641666666666666,0.6383333333333333,0.07416666666666667,0.3427777777777778,273,1.0,61,1.0,37,1.0,23,1.0,1.0,0.3097222222222222
ADR-linear-full,OracleGate+LearnedChoice,True,0.09333333333333338,0.28444444444444444,0.3544444444444444,-0.023333333333333428,0.4708333333333332,0.6041666666666666,0.13333333333333333,0.3427777777777778,273,1.0,61,0.7435897435897435,37,0.4074074074074074,23,0.5754985754985754,0.6716099268145189,0.2163888888888888
ADR-linear-full,LearnedGate+OracleChoice,True,0.09333333333333338,0.28444444444444444,0.3544444444444444,-0.023333333333333428,0.27972222222222215,0.49611111111111106,0.21638888888888888,0.4608333333333333,273,0.5873511904761904,61,0.532051282051282,37,0.722222222222222,23,0.627136752136752,0.6311309056804567,0.025277777777777732
ADR-linear-full,LearnedGate+LearnedChoice,False,0.09333333333333338,0.28444444444444444,0.3544444444444444,-0.023333333333333428,0.2097222222222222,0.4636111111111111,0.25388888888888894,0.4608333333333333,273,0.5873511904761904,61,0.391025641025641,37,0.25925925925925924,23,0.32514245014245013,0.3878684571402034,-0.04472222222222222
ADR-linear-split,OracleGate+OracleChoice,True,0.06666666666666665,0.2811111111111111,0.3419444444444444,-0.005833333333333357,0.5641666666666666,0.6383333333333333,0.07416666666666667,0.3427777777777778,273,1.0,61,1.0,37,1.0,23,1.0,1.0,0.3097222222222222
ADR-linear-split,OracleGate+LearnedChoice,True,0.06666666666666665,0.2811111111111111,0.3419444444444444,-0.005833333333333357,0.49749999999999994,0.6158333333333333,0.11833333333333333,0.3427777777777778,273,1.0,61,0.814102564102564,37,0.3703703703703703,23,0.5922364672364672,0.7463044767729673,0.24305555555555552
ADR-linear-split,LearnedGate+OracleChoice,True,0.06666666666666665,0.2811111111111111,0.3419444444444444,-0.005833333333333357,0.2830555555555555,0.47527777777777774,0.1922222222222222,0.5225,273,0.4998511904761904,61,0.6089743589743589,37,0.8518518518518516,23,0.7304131054131053,0.635805875657422,0.028611111111111087
ADR-linear-split,LearnedGate+LearnedChoice,False,0.06666666666666665,0.2811111111111111,0.3419444444444444,-0.005833333333333357,0.22222222222222218,0.45277777777777767,0.23055555555555554,0.5225,273,0.4998511904761904,61,0.4487179487179486,37,0.3703703703703703,23,0.40954415954415946,0.42526830505800933,-0.032222222222222235
ADR-tiny-nonlinear-choice,OracleGate+OracleChoice,True,0.07250000000000001,0.29277777777777775,0.3330555555555555,-0.03222222222222226,0.5641666666666666,0.6383333333333333,0.07416666666666667,0.3427777777777778,273,1.0,61,1.0,37,1.0,23,1.0,1.0,0.3097222222222222
ADR-tiny-nonlinear-choice,OracleGate+LearnedChoice,True,0.07250000000000001,0.29277777777777775,0.3330555555555555,-0.03222222222222226,0.4916666666666666,0.6158333333333333,0.12416666666666668,0.3427777777777778,273,1.0,61,0.891025641025641,37,0.6296296296296294,23,0.7603276353276351,0.8087017108796849,0.23722222222222217
ADR-tiny-nonlinear-choice,LearnedGate+OracleChoice,True,0.07250000000000001,0.29277777777777775,0.3330555555555555,-0.03222222222222226,0.27138888888888885,0.48777777777777775,0.21638888888888888,0.45666666666666667,273,0.5748511904761904,61,0.5064102564102564,37,0.7777777777777776,23,0.642094017094017,0.6276192121941474,0.01694444444444443
ADR-tiny-nonlinear-choice,LearnedGate+LearnedChoice,False,0.07250000000000001,0.29277777777777775,0.3330555555555555,-0.03222222222222226,0.2311111111111111,0.4733333333333333,0.24222222222222226,0.45666666666666667,273,0.5748511904761904,61,0.45512820512820507,37,0.44444444444444436,23,0.44978632478632474,0.5011026431821768,-0.023333333333333317
