component,method,metric,estimate,ci_lower,ci_upper,bootstrap_unit,replicates
composed_router,Base,scalar_utility,0.13055555555555554,-0.07111111111111111,0.3025069444444443,source,5000
composed_router,Base,catastrophe_rate,0.38916666666666666,0.30583333333333335,0.4883333333333333,source,5000
composed_router,Base,intervention_rate,0.0,0.0,0.0,source,5000
composed_router,Base,strict_base_recall,1.0,1.0,1.0,source,5000
composed_router,Base,strict_detour_recall,0.0,0.0,0.0,source,5000
composed_router,Base,strict_retreat_recall,0.0,0.0,0.0,source,5000
composed_router,Base,utility_gain_vs_Risk->BestFixed,-0.12388888888888888,-0.28472916666666664,0.01056249999999991,source,5000
composed_router,Always Detour,scalar_utility,0.2547222222222222,0.06722222222222222,0.42278472222222213,source,5000
composed_router,Always Detour,catastrophe_rate,0.18,0.1025,0.2891666666666667,source,5000
composed_router,Always Detour,intervention_rate,1.0,1.0,1.0,source,5000
composed_router,Always Detour,strict_base_recall,0.0,0.0,0.0,source,5000
composed_router,Always Detour,strict_detour_recall,1.0,1.0,1.0,source,5000
composed_router,Always Detour,strict_retreat_recall,0.0,0.0,0.0,source,5000
composed_router,Always Detour,utility_gain_vs_Risk->BestFixed,0.0002777777777777657,-0.06194444444444441,0.0755624999999999,source,5000
composed_router,Always Retreat,scalar_utility,-0.18583333333333335,-0.35750000000000004,-0.044145833333333634,source,5000
composed_router,Always Retreat,catastrophe_rate,0.18583333333333335,0.04414583333333334,0.35750000000000004,source,5000
composed_router,Always Retreat,intervention_rate,1.0,1.0,1.0,source,5000
composed_router,Always Retreat,strict_base_recall,0.0,0.0,0.0,source,5000
composed_router,Always Retreat,strict_detour_recall,0.0,0.0,0.0,source,5000
composed_router,Always Retreat,strict_retreat_recall,1.0,1.0,1.0,source,5000
composed_router,Always Retreat,utility_gain_vs_Risk->BestFixed,-0.44027777777777777,-0.5622291666666668,-0.33944444444444444,source,5000
composed_router,Risk->Retreat,scalar_utility,0.1297222222222222,-0.10362500000000001,0.325,source,5000
composed_router,Risk->Retreat,catastrophe_rate,0.30972222222222223,0.18888194444444445,0.4538888888888889,source,5000
composed_router,Risk->Retreat,intervention_rate,0.35055555555555556,0.2138819444444445,0.5091805555555553,source,5000
composed_router,Risk->Retreat,strict_base_recall,0.7775297619047619,0.5994397759103641,0.9229790353641455,source,5000
composed_router,Risk->Retreat,strict_detour_recall,0.0,0.0,0.0,source,5000
composed_router,Risk->Retreat,strict_retreat_recall,0.5370370370370368,0.3333333333333333,0.75,source,5000
composed_router,Risk->Retreat,utility_gain_vs_Risk->BestFixed,-0.1247222222222222,-0.2930625,0.015569444444444231,source,5000
