episode,source,anchor_step,R_A_outcomes,eef_0,eef_1,eef_2,bowl_0,bowl_1,bowl_2,plate_0,plate_1,plate_2,eef_axisangle_0,eef_axisangle_1,eef_axisangle_2,glass_radius,glass_halfheight
e00,0815f4806fc9a4fbd58c6627c8b92fd77f1b80ad4b8b4cd6d0c6e0541d488a7b,0,"timeout,timeout",-0.20112114896819236,-0.0025255361214352257,1.1837748682288785,-0.051504939959514696,0.2142940865732635,0.8984070831493086,0.11201958477532706,0.21064135312442697,0.9025062470428304,3.1409910152383675,-0.002477723869873152,-0.0863175855287067,0.028,0.06
e03,28c563172e6e13a0d3d84f1527243878c67a2140fa8c9a81ecb8b81ec9402dc8,17,"success,success",-0.07238455824128981,0.06851988941198163,1.1656239101345032,-0.050888695694204726,0.19859897194783324,0.8984070831739521,0.08429930488032095,0.19309539325528632,0.9025062470432469,3.150073717029509,0.01772191588167789,0.027731607561292348,0.028,0.06
e06,69fa7e93588c6aea4b134efa44633d38556ce1656b46df276021920a664881a3,0,"timeout,timeout",-0.20050134146318715,-0.0032684941572343473,1.1872418324098128,-0.06933646987202083,0.20418427037427783,0.8984070831737035,0.0934424082740832,0.22646273299167685,0.9025062470429428,3.141531780417872,-0.004455018326703164,-0.08624181420687166,0.028,0.06
e09,76fe1d96587ab928f6fb5d7750ecd048fd712eb3d66aa60feb972a3d9d56c9d1,18,"accident,accident",-0.0398135885960078,0.10014614084448317,1.1162171864025305,-0.058815848213137026,0.20368389694825575,0.898407083173952,0.0636588817884414,0.2025087435276899,0.9025062470432469,3.1777063270488473,-0.005725465311917796,0.005509197245064423,0.024,0.072
e12,821b498fc1fcb4e3c103635fa473d7577f718c4f633b273772954295c83ae585,6,"accident,accident",-0.18266724455749406,0.014044001850027866,1.1807036083627933,-0.04990351579081689,0.21564966835051974,0.898407083173952,0.07674191012165262,0.20094508019149743,0.9025062470432469,3.144212738177046,0.007868783203655479,-0.05586399909606985,0.034,0.06
e15,9176c2514b8a62105f4d2b8a22a8a0b0236c5b9feda58c18ef64cea917b98d9d,0,"success,success",-0.21063906585331196,0.017820370936330952,1.181434765418511,-0.05792725436171851,0.21074188326298657,0.8984070831734893,0.06604342584507226,0.20820984516508362,0.9025062470427647,3.1410641721595107,0.0028689420834166948,-0.0875413791495488,0.024,0.072
e18,986b3dff233a80cf0fd1c48f815600f49b95f83be0d9f898fee40d0a5c9dca63,11,"success,success",-0.13150846540814828,0.08457752471619466,1.1535759380156796,-0.05240341819638269,0.20887578198236567,0.898407083173952,0.061709823953883594,0.21153156596028477,0.9025062470432469,3.139323169900203,0.013215087200942248,-0.013212585750689017,0.024,0.072
e21,a3e1c487338ecfe4ce59e1e8f0be7a20d0442476ad923022ec430bdb5470ee56,14,"success,success",-0.09495291892903003,0.04935599037821202,1.180306050017844,-0.05311285059723545,0.2081169910402621,0.8984070831739521,0.14756785407691897,0.2744720115876878,0.9025062470432469,3.1369798257821717,0.01298397277240216,-0.004207732805724643,0.028,0.06
e24,a992f0a563f4b0239708f4be6fa38192e6930b15387567b2d4a16568d4fa5671,1,"timeout,timeout",-0.20472660239954227,-0.007595956225549321,1.1842297849498928,-0.060791427254733514,0.19499753262847497,0.8984070831739244,0.10827639007517993,0.21195756532946805,0.9025062470432308,3.141935808342602,0.0005192131447662035,-0.08158036437715052,0.026,0.067
e27,c8fa274849bf4beeb7c46b93a7de7a6242e5af2e9c83a395e8d0db16da5e81d8,58,"timeout,timeout",-0.09831296450675941,0.07462129674991308,1.1772145248152996,-0.05422824328643448,0.2073069745096143,0.898407083173952,0.0740801236934605,0.20879998108943493,0.9025062470432469,3.1431644988915264,0.020560037771974387,-0.038717765546386194,0.024,0.072
e30,ddd84e646ab0cdd38c0f283802f28ac361a412492f3872c7f489b95bb55d53af,19,"accident,accident",-0.05076222731548412,0.12156946931218601,1.09432447349752,-0.057764521982179004,0.19814576229375178,0.8984070831739521,0.07182590771925612,0.19499748576583867,0.976416094513737,3.150653369008643,0.02638018446970275,-0.0489367428096208,0.026,0.067
e33,f64d2a60c3b9cebc4b5e12f86f4978711b4ca1e7a3788d1756d078c45a1c1004,8,"accident,accident",-0.13074048679546765,0.04423360845325315,1.1769465953985794,-0.06374808534285394,0.2023815104810946,0.898407083173952,0.07007375887367359,0.19448824558725458,0.9025062470432469,3.1178662806694284,0.014112680192025882,0.00782717237011077,0.028,0.06
