manifest,placement_id,source_state_sha256,state_path,file_sha256,historical_split,task_suite,task_id,state_hash_verified
results/glass_recovery_v2/pilot_b_fresh_h20_20260812_r2/frontier_placements/placements.json,glass_recovery_train_0000,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,results/glass_recovery_v2/pilot_b_fresh_h20_20260812_r2/frontier_placements/states/train/libero_state_021.npy,f01f698158970b03a97cd0e5d48f1a3a79eb2d0e7fc18ea0b2603e1757407cdd,train,libero_spatial,0,True
results/glass_recovery_v2/pilot_b_fresh_h20_20260812_r2/frontier_placements/placements.json,glass_recovery_train_0001,655347c9fb28aaf505e162e6bcad095d17e4bfee5506113825cfb3da6ca60845,results/glass_recovery_v2/pilot_b_fresh_h20_20260812_r2/frontier_placements/states/train/libero_state_021.npy,f01f698158970b03a97cd0e5d48f1a3a79eb2d0e7fc18ea0b2603e1757407cdd,train,libero_spatial,0,True
results/glass_recovery_v2/pilot_b_fresh_h20_20260812_r2/frontier_placements/placements.json,glass_recovery_train_0002,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,results/glass_recovery_v2/pilot_b_fresh_h20_20260812_r2/frontier_placements/states/train/libero_state_034.npy,02ed80eefd5c66722a9462f2e846b66325827e8071c216ba0944822ff9265be3,train,libero_spatial,0,True
results/glass_recovery_v2/pilot_b_fresh_h20_20260812_r2/frontier_placements/placements.json,glass_recovery_train_0003,2ef1381d9cfc0a92b107e2940bcf431c7494cd7067d032284f30a23c47b487cc,results/glass_recovery_v2/pilot_b_fresh_h20_20260812_r2/frontier_placements/states/train/libero_state_034.npy,02ed80eefd5c66722a9462f2e846b66325827e8071c216ba0944822ff9265be3,train,libero_spatial,0,True
results/glass_recovery_v2/pilot_b_fresh_h20_20260812_r2/frontier_placements/placements.json,glass_recovery_train_0004,61f6ada542d03d1dd4d75a304f2674efa20660163c54b012b956522e98835cac,results/glass_recovery_v2/pilot_b_fresh_h20_20260812_r2/frontier_placements/states/train/libero_state_040.npy,17e46e95c50ae8ceb6970a8fb7f86ef0932e7c3183a3ddfda74ecb798ba0943f,train,libero_spatial,0,True
results/glass_recovery_v2/pilot_b_fresh_h20_20260812_r2/frontier_placements/placements.json,glass_recovery_validation_0000,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,results/glass_recovery_v2/pilot_b_fresh_h20_20260812_r2/frontier_placements/states/validation/libero_state_003.npy,5187dd15c07c8e048aa84e3893802111de17692873b5162bcb3168162440c45e,validation,libero_spatial,0,True
results/glass_recovery_v2/pilot_b_fresh_h20_20260812_r2/frontier_placements/placements.json,glass_recovery_validation_0001,5de3fa5396875480db81793738029227ed357caa91e5d24290ffc5cb0371f908,results/glass_recovery_v2/pilot_b_fresh_h20_20260812_r2/frontier_placements/states/validation/libero_state_003.npy,5187dd15c07c8e048aa84e3893802111de17692873b5162bcb3168162440c45e,validation,libero_spatial,0,True
results/glass_recovery_v2/pilot_b_fresh_h20_20260812_r2/frontier_placements/placements.json,glass_recovery_validation_0002,c42d5373619bdca4a0ca31a64ed81ae3940d3f105b13eb475cd0c54fe053bc6e,results/glass_recovery_v2/pilot_b_fresh_h20_20260812_r2/frontier_placements/states/validation/libero_state_014.npy,8ae17affe78a798f9711a6016765d16883f2268138556cbadddfb0512ebb36db,validation,libero_spatial,0,True
results/glass_recovery_v2/pilot_b_fresh_h20_20260812_r2/frontier_placements/placements.json,glass_recovery_validation_0003,c42d5373619bdca4a0ca31a64ed81ae3940d3f105b13eb475cd0c54fe053bc6e,results/glass_recovery_v2/pilot_b_fresh_h20_20260812_r2/frontier_placements/states/validation/libero_state_014.npy,8ae17affe78a798f9711a6016765d16883f2268138556cbadddfb0512ebb36db,validation,libero_spatial,0,True
results/glass_recovery_v2/pilot_b_fresh_h20_20260812_r2/frontier_placements/placements.json,glass_recovery_validation_0004,d6796d48077a08484abd1252e6deb387d8b6a10bf445e66c4e6eaa0bde0f7818,results/glass_recovery_v2/pilot_b_fresh_h20_20260812_r2/frontier_placements/states/validation/libero_state_020.npy,4bcef85b47e7296951f6a1467ca57221954d3c96f6ec6a37f60570df5d280e0a,validation,libero_spatial,0,True
results/glass_recovery_v2/pilot_b_fresh_h20_20260812_r2/frontier_placements/placements.json,glass_recovery_heldout_0000,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,results/glass_recovery_v2/pilot_b_fresh_h20_20260812_r2/frontier_placements/states/heldout/libero_state_006.npy,999fd9aba435bcb50bc1db77a46c0beea45e549f737653df06146737bc0ac25e,heldout,libero_spatial,0,True
results/glass_recovery_v2/pilot_b_fresh_h20_20260812_r2/frontier_placements/placements.json,glass_recovery_heldout_0001,6292759eb45913ce4ed8447194504833f347d9355012e3228775797a4b0a7cd1,results/glass_recovery_v2/pilot_b_fresh_h20_20260812_r2/frontier_placements/states/heldout/libero_state_006.npy,999fd9aba435bcb50bc1db77a46c0beea45e549f737653df06146737bc0ac25e,heldout,libero_spatial,0,True
results/glass_recovery_v2/pilot_b_fresh_h20_20260812_r2/frontier_placements/placements.json,glass_recovery_heldout_0002,b830bede73f505b84b88a6596e92c22a5a4c0ded1e275e8e5b28a599849d2df6,results/glass_recovery_v2/pilot_b_fresh_h20_20260812_r2/frontier_placements/states/heldout/libero_state_009.npy,105e35bf2d0e4d0fd289dfaaf5e9231bdedc0fc9ac88bc12b06f7b369133c317,heldout,libero_spatial,0,True
