path,bytes,sha256,expected_sha256,status
results/counterfactual_router/full_d4751330395e_20260814T152231Z/capture_manifest.json,20648,a0a1efad5976bc5661109a161e3ec21112a5a97f993207667cc7abda606f0d60,a0a1efad5976bc5661109a161e3ec21112a5a97f993207667cc7abda606f0d60,verified
results/counterfactual_router/full_d4751330395e_20260814T152231Z/decision_metadata.json,280511,1e7f701cdb1b9c3eb00d6ae637c722e5a5f0ad55861e5135f0e1d2a1b18f0815,1e7f701cdb1b9c3eb00d6ae637c722e5a5f0ad55861e5135f0e1d2a1b18f0815,verified
results/counterfactual_router/full_d4751330395e_20260814T152231Z/option_rollouts.jsonl,453535,9f51fe43b8cda6e67a93b70439dbf7c65ce769cfd8e04812230df4e2bfdb9353,9f51fe43b8cda6e67a93b70439dbf7c65ce769cfd8e04812230df4e2bfdb9353,verified
results/counterfactual_router/full_d4751330395e_20260814T152231Z/decision_features.npz,12653444,3ee68e647ecc68a704d02ac5bd19129ee063e78fe97423a32564ff194e4bb495,3ee68e647ecc68a704d02ac5bd19129ee063e78fe97423a32564ff194e4bb495,verified
scripts/collect_counterfactual_option_rollouts.py,28887,ba664c8b1e2ad54937070380862fb170fc2b1f63e5e67a97ce7a3aa5436dc486,,historical_git_blob_at_d4751330395eec11691f4830761b76f5f1ac36b7
scripts/collect_counterfactual_option_rollouts.py,29876,c03164a849ad0e6c2e72be8712cecb9ce70d16b644bf4b7eb86fbaf9261ba48d,,local_current_blob
crashbench/recovery.py,14588,5502fe599fc7bd9f6c92826735d3e42c1a1f97df6e98d3c5843f5942b4e03a22,,historical_git_blob_at_d4751330395eec11691f4830761b76f5f1ac36b7
crashbench/recovery.py,14982,dea2d8c9148f4b245d59d4c8e804ad4d002e0a70f58d0d6ff2ab4c53f3b6f783,,local_current_blob
crashbench/policies/openvla_policy.py,8909,7166245b3ddd1556364e035e46d4aec9295df6eb1de9b168268ad04b62f49f26,,historical_git_blob_at_d4751330395eec11691f4830761b76f5f1ac36b7
crashbench/policies/openvla_policy.py,10198,b30bdc77b5b5bc2afc034ba4020407aacf6535dc1d9874a35359890bb2b75afb,,local_current_blob
crashbench/envs/libero_adapter.py,42110,8ea9ca89b0fe9e4a4858072669d8e5e5917421d5f628520bcb4758375c6af34f,,historical_git_blob_at_d4751330395eec11691f4830761b76f5f1ac36b7
crashbench/envs/libero_adapter.py,50841,37abf9c9ee8e08dd7139008404eb15d0210004f0b4352ae1e85467046fce2563,,local_current_blob
scripts/collect_glass_recovery_pairs.py,86235,cc4f04d91c57427e84d7005bdc4b8943ad9350a78443eb9259cede3ae199393e,,historical_git_blob_at_d4751330395eec11691f4830761b76f5f1ac36b7
scripts/collect_glass_recovery_pairs.py,86235,cc4f04d91c57427e84d7005bdc4b8943ad9350a78443eb9259cede3ae199393e,,local_current_blob
setup/counterfactual_option_rollouts.sbatch,3459,35917a0e4000d0acd70a560961833707a5e8aeefc69b866cab47e8ee27afc1c0,,historical_git_blob_at_d4751330395eec11691f4830761b76f5f1ac36b7
setup/counterfactual_option_rollouts.sbatch,3459,35917a0e4000d0acd70a560961833707a5e8aeefc69b866cab47e8ee27afc1c0,,local_current_blob
crashbench/counterfactual_router.py,4497,ff9c4909dd69eefcee3f856fd4d7692b401c440befc23c4daaa34b1641fa21e4,,historical_git_blob_at_d4751330395eec11691f4830761b76f5f1ac36b7
crashbench/counterfactual_router.py,11254,109d12fa8af741c1681159c75dc703fc103fc4ce6a62ba576ea138c0b2cd01c1,,local_current_blob
