panel,method,selection_horizon,evaluation_horizon,subset,n_sources,n_cells,C_positive_sources,C_negative_sources,A_gain,B_gain,C_gain,A_source_rmse,B_source_rmse,A_minus_C,A_minus_C_lo,A_minus_C_hi,B_minus_C,B_minus_C_lo,B_minus_C_hi,error_improvement,error_improvement_lo,error_improvement_hi,C_gain_lo,C_gain_hi,A_base_success,A_selected_success,A_base_accident,A_selected_accident,A_accident_delta,A_loss,A_new_accident,A_intervention,B_base_success,B_selected_success,B_base_accident,B_selected_accident,B_accident_delta,B_loss,B_new_accident,B_intervention,C_base_success,C_selected_success,C_base_accident,C_selected_accident,C_accident_delta,C_loss,C_new_accident,C_intervention
detour,real_full,220,220,all,16,48,2,0,0.041666666666666664,0.020833333333333332,0.03125,0.041666666666666664,0.041666666666666664,0.010416666666666666,0.0,0.03125,-0.010416666666666666,-0.03125,0.0,0.0,-0.005208333333333333,0.005208333333333333,0.0,0.08333333333333333,0.6458333333333333,0.6875,0.3125,0.28125,-0.03125,0.0,0.0,0.0625,0.6770833333333333,0.6979166666666666,0.26041666666666663,0.23958333333333331,-0.020833333333333332,0.0,0.0,0.0625,0.6458333333333333,0.6770833333333333,0.2708333333333333,0.24999999999999997,-0.020833333333333332,0.0,0.0,0.0625
detour,real_full,220,220,condition:glass,16,16,2,0,0.09375,0.0625,0.09375,0.0,0.125,0.0,0.0,0.0,-0.03125,-0.09375,0.0,-0.015625,-0.046875,0.0,0.0,0.25,0.125,0.21875,0.8125,0.71875,-0.09375,0.0,0.0,0.125,0.1875,0.25,0.6875,0.625,-0.0625,0.0,0.0,0.125,0.1875,0.28125,0.6875,0.625,-0.0625,0.0,0.0,0.125
detour,real_full,220,220,condition:noglass,16,16,0,0,0.03125,0.0,0.0,0.125,0.0,0.03125,0.0,0.09375,0.0,0.0,0.0,0.015625,0.0,0.046875,0.0,0.0,0.96875,1.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.9375,0.9375,0.0,0.0,0.0,0.0,0.0,0.0625,0.96875,0.96875,0.0,0.0,0.0,0.0,0.0,0.0625
detour,real_full,220,220,condition:offpath,16,16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84375,0.84375,0.125,0.125,0.0,0.0,0.0,0.0,0.90625,0.90625,0.09375,0.09375,0.0,0.0,0.0,0.0,0.78125,0.78125,0.125,0.125,0.0,0.0,0.0,0.0
detour,real_full,220,220,controls,16,32,0,0,0.015625,0.0,0.0,0.0625,0.0,0.015625,0.0,0.046875,0.0,0.0,0.0,0.00390625,0.0,0.01171875,0.0,0.0,0.90625,0.921875,0.0625,0.0625,0.0,0.0,0.0,0.03125,0.921875,0.921875,0.046875,0.046875,0.0,0.0,0.0,0.03125,0.875,0.875,0.0625,0.0625,0.0,0.0,0.0,0.03125
detour,real_full,220,220,role:calibration,4,12,0,0,0.041666666666666664,0.0,0.0,0.08333333333333333,0.0,0.041666666666666664,0.0,0.125,0.0,0.0,0.0,0.006944444444444444,0.0,0.020833333333333332,0.0,0.0,0.5416666666666666,0.5833333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.08333333333333333,0.5833333333333334,0.5833333333333334,0.29166666666666663,0.29166666666666663,0.0,0.0,0.0,0.08333333333333333,0.625,0.625,0.2916666666666667,0.2916666666666667,0.0,0.0,0.0,0.08333333333333333
detour,real_full,220,220,role:fitting,12,36,2,0,0.041666666666666664,0.027777777777777776,0.041666666666666664,0.0,0.048112522432468816,0.0,0.0,0.0,-0.013888888888888888,-0.041666666666666664,0.0,-0.0023148148148148147,-0.006944444444444444,0.0,0.0,0.1111111111111111,0.6805555555555557,0.7222222222222222,0.3055555555555556,0.2638888888888889,-0.041666666666666664,0.0,0.0,0.05555555555555555,0.7083333333333334,0.736111111111111,0.25,0.2222222222222222,-0.027777777777777776,0.0,0.0,0.05555555555555555,0.6527777777777778,0.6944444444444445,0.2638888888888889,0.23611111111111108,-0.027777777777777776,0.0,0.0,0.05555555555555555
detour,real_full,220,440,all,16,48,2,0,0.041666666666666664,0.020833333333333332,0.03125,0.041666666666666664,0.041666666666666664,0.010416666666666666,0.0,0.03125,-0.010416666666666666,-0.03125,0.0,0.0,-0.005208333333333333,0.005208333333333333,0.0,0.08333333333333333,0.6458333333333333,0.6875,0.3125,0.28125,-0.03125,0.0,0.0,0.0625,0.6770833333333333,0.6979166666666666,0.26041666666666663,0.23958333333333331,-0.020833333333333332,0.0,0.0,0.0625,0.6458333333333333,0.6770833333333333,0.28125,0.26041666666666663,-0.020833333333333332,0.0,0.0,0.0625
detour,real_full,220,440,condition:glass,16,16,2,0,0.09375,0.0625,0.09375,0.0,0.125,0.0,0.0,0.0,-0.03125,-0.09375,0.0,-0.015625,-0.046875,0.0,0.0,0.25,0.125,0.21875,0.8125,0.71875,-0.09375,0.0,0.0,0.125,0.1875,0.25,0.6875,0.625,-0.0625,0.0,0.0,0.125,0.1875,0.28125,0.71875,0.65625,-0.0625,0.0,0.0,0.125
detour,real_full,220,440,condition:noglass,16,16,0,0,0.03125,0.0,0.0,0.125,0.0,0.03125,0.0,0.09375,0.0,0.0,0.0,0.015625,0.0,0.046875,0.0,0.0,0.96875,1.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.9375,0.9375,0.0,0.0,0.0,0.0,0.0,0.0625,0.96875,0.96875,0.0,0.0,0.0,0.0,0.0,0.0625
